,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
0,11 days,1,BRFOR,NLRTM,"['21 OCT', ' 02:57', 'UTC-03:00']","['1 NOV', ' 06:00', 'UTC+01:00']",700,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM']]","['Hapag-Lloyd, MSC']"
1,23 days,1,BRFOR,BEANR,"['27 OCT', ' 00:00', 'UTC-03:00']","['18 NOV', ' 22:00', 'UTC+01:00']",860,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM'], ['RTM', 'BRV', 'ANR']]","['CMA CGM', 'CMA CGM, Hapag-Lloyd, ONE, OOCL']"
2,16 days,2,BRFOR,BEANR,"['21 OCT', ' 02:57', 'UTC-03:00']","['5 NOV', ' 22:00', 'UTC+01:00']",755,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
3,22 days,2,BRFOR,BEANR,"['21 OCT', ' 02:57', 'UTC-03:00']","['11 NOV', ' 18:00', 'UTC+01:00']",760,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
4,18 days,2,BRFOR,BEANR,"['21 OCT', ' 02:57', 'UTC-03:00']","['8 NOV', ' 06:00', 'UTC+01:00']",780,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, ONE']"
5,12 days,2,BRFOR,BEANR,"['21 OCT', ' 02:57', 'UTC-03:00']","['1 NOV', ' 09:03', 'UTC+01:00']",795,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC']"
6,18 days,2,BRFOR,BEANR,"['24 OCT', ' 02:27', 'UTC-03:00']","['10 NOV', ' 18:00', 'UTC+01:00']",800,"[['FOR', 'PEC'], ['PEC', 'LPA'], ['LPA', 'ANR']]","['MSC', 'MSC']"
7,22 days,2,BRFOR,BEANR,"['31 OCT', ' 08:42', 'UTC-03:00']","['21 NOV', ' 14:00', 'UTC+01:00']",960,"[['FOR', 'PEC'], ['PEC', 'LPA', 'VLC'], ['VLC', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
8,26 days,2,BRFOR,BEANR,"['22 OCT', ' 19:08', 'UTC-03:00']","['17 NOV', ' 13:00', 'UTC+01:00']",2020,"[['FOR', 'SUA'], ['SUA', 'CTB'], ['CTB', 'ANR']]","['MSC', 'MSC']"
9,26 days,2,BRFOR,BEANR,"['22 OCT', ' 19:08', 'UTC-03:00']","['17 NOV', ' 10:00', 'UTC+01:00']",2150,"[['FOR', 'SUA'], ['SUA', 'CTB', 'CAU'], ['CAU', 'ANR']]","['MSC', 'MSC']"
10,25 days,3,BRFOR,BEANR,"['21 OCT', ' 02:57', 'UTC-03:00']","['15 NOV', ' 02:00', 'UTC+01:00']",875,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'LEH'], ['LEH', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC', 'MSC']"
11,22 days,3,BRFOR,BEANR,"['21 OCT', ' 02:57', 'UTC-03:00']","['11 NOV', ' 18:00', 'UTC+01:00']",900,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'VGO'], ['VGO', 'RTM', 'ANR']]","['Hapag-Lloyd', 'CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd, MSC, W.E.C. Lines']"
12,22 days,3,BRFOR,BEANR,"['21 OCT', ' 02:57', 'UTC-03:00']","['11 NOV', ' 18:00', 'UTC+01:00']",900,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'LEI'], ['LEI', 'VGO', 'RTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd, MSC, W.E.C. Lines']"
13,19 days,3,BRFOR,BEANR,"['21 OCT', ' 02:57', 'UTC-03:00']","['9 NOV', ' 06:00', 'UTC+01:00']",1080,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ORK'], ['ORK', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC', 'MSC']"
14,26 days,3,BRFOR,BEANR,"['23 OCT', ' 00:27', 'UTC-03:00']","['18 NOV', ' 03:04', 'UTC+01:00']",1400,"[['FOR', 'PEC'], ['PEC', 'SUA', 'SSZ'], ['SSZ', 'PTM', 'LGP', 'RTM'], ['RTM', 'ANR']]","['Maersk, MSC', 'CMA CGM, Hamburg Sud, Maersk']"
15,12 days,2,BRFOR,NLVLI,"['21 OCT', ' 02:57', 'UTC-03:00']","['1 NOV', ' 08:11', 'UTC+01:00']",775,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'VLI']]","['Hapag-Lloyd, MSC']"
16,23 days,2,BRFOR,NLVLI,"['27 OCT', ' 00:00', 'UTC-03:00']","['18 NOV', ' 23:32', 'UTC+01:00']",915,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM'], ['RTM', 'BRV', 'ANR'], ['ANR', 'VLI']]","['CMA CGM', 'CMA CGM, Hapag-Lloyd, ONE, OOCL']"
17,16 days,3,BRFOR,NLVLI,"['21 OCT', ' 02:57', 'UTC-03:00']","['5 NOV', ' 23:36', 'UTC+01:00']",815,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'MSC']"
18,22 days,3,BRFOR,NLVLI,"['21 OCT', ' 02:57', 'UTC-03:00']","['11 NOV', ' 19:36', 'UTC+01:00']",820,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
19,19 days,3,BRFOR,NLVLI,"['21 OCT', ' 02:57', 'UTC-03:00']","['8 NOV', ' 07:35', 'UTC+01:00']",840,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, ONE']"
20,18 days,3,BRFOR,NLVLI,"['24 OCT', ' 02:27', 'UTC-03:00']","['10 NOV', ' 19:36', 'UTC+01:00']",860,"[['FOR', 'PEC'], ['PEC', 'LPA'], ['LPA', 'ANR'], ['ANR', 'VLI']]","['MSC', 'MSC']"
21,22 days,3,BRFOR,NLVLI,"['31 OCT', ' 08:42', 'UTC-03:00']","['21 NOV', ' 15:36', 'UTC+01:00']",1020,"[['FOR', 'PEC'], ['PEC', 'LPA', 'VLC'], ['VLC', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'MSC']"
22,26 days,3,BRFOR,NLVLI,"['23 OCT', ' 00:27', 'UTC-03:00']","['18 NOV', ' 02:12', 'UTC+01:00']",1375,"[['FOR', 'PEC'], ['PEC', 'SUA', 'SSZ'], ['SSZ', 'PTM', 'LGP', 'RTM'], ['RTM', 'VLI']]","['Maersk, MSC', 'CMA CGM, Hamburg Sud, Maersk']"
23,24 days,3,BRFOR,NLVLI,"['22 OCT', ' 19:08', 'UTC-03:00']","['15 NOV', ' 08:23', 'UTC+01:00']",2065,"[['FOR', 'SUA'], ['SUA', 'CTB'], ['CTB', 'ZEE'], ['ZEE', 'VLI']]","['MSC', 'MSC']"
24,26 days,3,BRFOR,NLVLI,"['22 OCT', ' 19:08', 'UTC-03:00']","['17 NOV', ' 11:36', 'UTC+01:00']",2210,"[['FOR', 'SUA'], ['SUA', 'CTB', 'CAU'], ['CAU', 'ANR'], ['ANR', 'VLI']]","['MSC', 'MSC']"
25,25 days,4,BRFOR,NLVLI,"['21 OCT', ' 02:57', 'UTC-03:00']","['15 NOV', ' 03:36', 'UTC+01:00']",935,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'LEH'], ['LEH', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'MSC', 'MSC']"
26,20 days,4,BRFOR,NLVLI,"['21 OCT', ' 02:57', 'UTC-03:00']","['9 NOV', ' 10:11', 'UTC+01:00']",940,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'LEI'], ['LEI', 'VGO', 'RTM'], ['RTM', 'VLI']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd, MSC, W.E.C. Lines']"
27,20 days,4,BRFOR,NLVLI,"['21 OCT', ' 02:57', 'UTC-03:00']","['9 NOV', ' 10:11', 'UTC+01:00']",945,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'VGO'], ['VGO', 'RTM'], ['RTM', 'VLI']]","['Hapag-Lloyd', 'CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd, MSC, W.E.C. Lines']"
28,20 days,4,BRFOR,NLVLI,"['21 OCT', ' 02:57', 'UTC-03:00']","['9 NOV', ' 07:36', 'UTC+01:00']",1140,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ORK'], ['ORK', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'MSC', 'MSC']"
29,12 days,2,BRFOR,BEZEE,"['21 OCT', ' 02:57', 'UTC-03:00']","['1 NOV', ' 09:17', 'UTC+01:00']",805,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ZEE']]","['Hapag-Lloyd, MSC']"
