,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
0,12 days,1,BRFOR,NLRTM,"['28 OCT', ' 23:27', 'UTC-03:00']","['9 NOV', ' 08:45', 'UTC+01:00']",700,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM']]","['Hapag-Lloyd, MSC']"
1,25 days,1,BRFOR,NLRTM,"['29 OCT', ' 00:00', 'UTC-03:00']","['22 NOV', ' 07:00', 'UTC+01:00']",1335,"[['FOR', 'PTP', 'CTG'], ['CTG', 'CAU', 'RTM']]","['CMA CGM', 'CMA CGM, COSCO, Hapag-Lloyd, OOCL']"
2,21 days,1,BRFOR,BEANR,"['11 NOV', ' 23:27', 'UTC-03:00']","['2 DEC', ' 14:00', 'UTC+01:00']",850,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV', 'ANR']]","['Hapag-Lloyd, MSC']"
3,15 days,2,BRFOR,BEANR,"['28 OCT', ' 23:27', 'UTC-03:00']","['13 NOV', ' 02:00', 'UTC+01:00']",755,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
4,21 days,2,BRFOR,BEANR,"['28 OCT', ' 23:27', 'UTC-03:00']","['18 NOV', ' 16:00', 'UTC+01:00']",760,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
5,22 days,2,BRFOR,BEANR,"['28 OCT', ' 23:27', 'UTC-03:00']","['19 NOV', ' 12:00', 'UTC+01:00']",780,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
6,12 days,2,BRFOR,BEANR,"['28 OCT', ' 23:27', 'UTC-03:00']","['9 NOV', ' 11:48', 'UTC+01:00']",795,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC']"
7,20 days,2,BRFOR,BEANR,"['28 OCT', ' 23:27', 'UTC-03:00']","['17 NOV', ' 22:00', 'UTC+01:00']",810,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
8,24 days,2,BRFOR,BEANR,"['27 OCT', ' 00:00', 'UTC-03:00']","['20 NOV', ' 00:00', 'UTC+01:00']",810,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM', 'LEH'], ['LEH', 'LEH'], ['LEH', 'ANR']]","['CMA CGM', 'CMA CGM, COSCO, Evergreen']"
9,18 days,2,BRFOR,BEANR,"['27 OCT', ' 06:57', 'UTC-03:00']","['14 NOV', ' 10:00', 'UTC+01:00']",860,"[['FOR', 'PEC'], ['PEC', 'LPA'], ['LPA', 'AGA', 'RTM', 'ANR']]","['MSC', 'MSC']"
10,24 days,2,BRFOR,BEANR,"['11 NOV', ' 23:27', 'UTC-03:00']","['5 DEC', ' 22:00', 'UTC+01:00']",920,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV'], ['BRV', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
11,21 days,2,BRFOR,BEANR,"['28 OCT', ' 23:27', 'UTC-03:00']","['18 NOV', ' 06:00', 'UTC+01:00']",925,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP', 'BRV', 'HAM'], ['HAM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
12,23 days,2,BRFOR,BEANR,"['31 OCT', ' 08:42', 'UTC-03:00']","['22 NOV', ' 17:00', 'UTC+01:00']",960,"[['FOR', 'PEC'], ['PEC', 'LPA', 'VLC'], ['VLC', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
13,25 days,2,BRFOR,BEANR,"['29 OCT', ' 00:00', 'UTC-03:00']","['22 NOV', ' 10:03', 'UTC+01:00']",1430,"[['FOR', 'PTP', 'CTG'], ['CTG', 'CAU', 'RTM'], ['RTM', 'ANR']]","['CMA CGM', 'CMA CGM, COSCO, Hapag-Lloyd, OOCL']"
14,26 days,2,BRFOR,BEANR,"['29 OCT', ' 06:38', 'UTC-03:00']","['24 NOV', ' 10:00', 'UTC+01:00']",2020,"[['FOR', 'SUA'], ['SUA', 'CTB'], ['CTB', 'ANR']]","['MSC', 'MSC']"
15,22 days,3,BRFOR,BEANR,"['28 OCT', ' 23:27', 'UTC-03:00']","['19 NOV', ' 06:00', 'UTC+01:00']",875,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'LEH'], ['LEH', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC', 'MSC']"
16,12 days,2,BRFOR,NLVLI,"['28 OCT', ' 23:27', 'UTC-03:00']","['9 NOV', ' 10:56', 'UTC+01:00']",775,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'VLI']]","['Hapag-Lloyd, MSC']"
17,21 days,2,BRFOR,NLVLI,"['11 NOV', ' 23:27', 'UTC-03:00']","['2 DEC', ' 15:36', 'UTC+01:00']",910,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC']"
18,25 days,2,BRFOR,NLVLI,"['29 OCT', ' 00:00', 'UTC-03:00']","['22 NOV', ' 09:11', 'UTC+01:00']",1410,"[['FOR', 'PTP', 'CTG'], ['CTG', 'CAU', 'RTM'], ['RTM', 'VLI']]","['CMA CGM', 'CMA CGM, COSCO, Hapag-Lloyd, OOCL']"
19,16 days,3,BRFOR,NLVLI,"['28 OCT', ' 23:27', 'UTC-03:00']","['13 NOV', ' 03:36', 'UTC+01:00']",815,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'MSC']"
20,21 days,3,BRFOR,NLVLI,"['28 OCT', ' 23:27', 'UTC-03:00']","['18 NOV', ' 17:36', 'UTC+01:00']",820,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
21,22 days,3,BRFOR,NLVLI,"['28 OCT', ' 23:27', 'UTC-03:00']","['19 NOV', ' 13:32', 'UTC+01:00']",835,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
22,20 days,3,BRFOR,NLVLI,"['28 OCT', ' 23:27', 'UTC-03:00']","['17 NOV', ' 23:35', 'UTC+01:00']",870,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
23,24 days,3,BRFOR,NLVLI,"['27 OCT', ' 00:00', 'UTC-03:00']","['20 NOV', ' 01:38', 'UTC+01:00']",870,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM', 'LEH'], ['LEH', 'LEH'], ['LEH', 'ANR'], ['ANR', 'VLI']]","['CMA CGM', 'CMA CGM, COSCO, Evergreen']"
24,16 days,3,BRFOR,NLVLI,"['27 OCT', ' 06:57', 'UTC-03:00']","['11 NOV', ' 23:11', 'UTC+01:00']",895,"[['FOR', 'PEC'], ['PEC', 'LPA'], ['LPA', 'LGP', 'RTM'], ['RTM', 'VLI']]","['MSC', 'MSC']"
