,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
133,24 days,2,BRPEC,NLRTM,"['31 OCT', ' 10:15', 'UTC-03:00']","['24 NOV', ' 06:00', 'UTC+01:00']",960,"[['PEC', 'LPA', 'VLC'], ['VLC', 'ANR'], ['ANR', 'RTM']]","['MSC', 'MSC', 'Containerships, MSC']"
134,23 days,3,BRPEC,NLRTM,"['27 OCT', ' 08:30', 'UTC-03:00']","['18 NOV', ' 19:36', 'UTC+01:00']",880,"[['PEC', 'LPA'], ['LPA', 'LEH'], ['LEH', 'ANR'], ['ANR', 'RTM']]","['MSC', 'MSC', 'MSC']"
135,16 days,1,BRPEC,BEANR,"['28 OCT', ' 21:17', 'UTC-03:00']","['13 NOV', ' 02:00', 'UTC+01:00']",700,"[['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
136,21 days,1,BRPEC,BEANR,"['28 OCT', ' 21:17', 'UTC-03:00']","['18 NOV', ' 16:00', 'UTC+01:00']",705,"[['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
137,22 days,1,BRPEC,BEANR,"['28 OCT', ' 21:17', 'UTC-03:00']","['19 NOV', ' 12:00', 'UTC+01:00']",725,"[['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
138,12 days,1,BRPEC,BEANR,"['28 OCT', ' 21:17', 'UTC-03:00']","['9 NOV', ' 14:20', 'UTC+01:00']",740,"[['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC']"
139,15 days,1,BRPEC,BEANR,"['27 OCT', ' 08:30', 'UTC-03:00']","['10 NOV', ' 22:00', 'UTC+01:00']",745,"[['PEC', 'LPA'], ['LPA', 'ANR']]","['MSC', 'MSC']"
140,20 days,1,BRPEC,BEANR,"['28 OCT', ' 21:17', 'UTC-03:00']","['17 NOV', ' 22:00', 'UTC+01:00']",755,"[['PEC', 'PTM'], ['PTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
141,24 days,1,BRPEC,BEANR,"['12 NOV', ' 01:00', 'UTC-03:00']","['5 DEC', ' 22:00', 'UTC+01:00']",865,"[['PEC', 'PTM', 'RTM', 'LGP', 'HAM', 'BRV'], ['BRV', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
142,21 days,1,BRPEC,BEANR,"['28 OCT', ' 21:17', 'UTC-03:00']","['18 NOV', ' 06:00', 'UTC+01:00']",870,"[['PEC', 'PTM', 'RTM', 'LGP', 'BRV', 'HAM'], ['HAM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
143,22 days,1,BRPEC,BEANR,"['31 OCT', ' 10:15', 'UTC-03:00']","['21 NOV', ' 19:00', 'UTC+01:00']",905,"[['PEC', 'LPA', 'VLC'], ['VLC', 'ANR']]","['MSC', 'MSC']"
144,28 days,1,BRPEC,BEANR,"['7 NOV', ' 10:15', 'UTC-03:00']","['5 DEC', ' 14:00', 'UTC+01:00']",1080,"[['PEC', 'LPA', 'VLC'], ['VLC', 'LGP', 'RTM', 'HAM', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC, W.E.C. Lines']"
145,23 days,2,BRPEC,BEANR,"['27 OCT', ' 08:30', 'UTC-03:00']","['18 NOV', ' 16:45', 'UTC+01:00']",790,"[['PEC', 'LPA'], ['LPA', 'LEH'], ['LEH', 'ANR']]","['MSC', 'MSC', 'MSC']"
