,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
0,12 days,1,BRFOR,NLRTM,"['28 OCT', ' 20:27', 'UTC-03:00']","['9 NOV', ' 08:00', 'UTC+01:00']",700,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM']]","['Hapag-Lloyd, MSC']"
1,15 days,2,BRFOR,BEANR,"['28 OCT', ' 20:27', 'UTC-03:00']","['12 NOV', ' 22:00', 'UTC+01:00']",755,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
2,21 days,2,BRFOR,BEANR,"['28 OCT', ' 20:27', 'UTC-03:00']","['18 NOV', ' 16:00', 'UTC+01:00']",760,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
3,17 days,2,BRFOR,BEANR,"['4 NOV', ' 16:57', 'UTC-03:00']","['21 NOV', ' 06:00', 'UTC+01:00']",780,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
4,12 days,2,BRFOR,BEANR,"['28 OCT', ' 20:27', 'UTC-03:00']","['9 NOV', ' 11:03', 'UTC+01:00']",795,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC']"
5,20 days,2,BRFOR,BEANR,"['28 OCT', ' 20:27', 'UTC-03:00']","['17 NOV', ' 22:00', 'UTC+01:00']",810,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
6,19 days,2,BRFOR,BEANR,"['25 OCT', ' 23:27', 'UTC-03:00']","['14 NOV', ' 01:00', 'UTC+01:00']",860,"[['FOR', 'PEC'], ['PEC', 'LPA'], ['LPA', 'AGA', 'RTM', 'ANR']]","['MSC', 'MSC']"
7,21 days,2,BRFOR,BEANR,"['4 NOV', ' 16:57', 'UTC-03:00']","['25 NOV', ' 06:00', 'UTC+01:00']",925,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP', 'BRV', 'HAM'], ['HAM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
8,22 days,2,BRFOR,BEANR,"['31 OCT', ' 06:27', 'UTC-03:00']","['21 NOV', ' 14:00', 'UTC+01:00']",960,"[['FOR', 'PEC'], ['PEC', 'LPA', 'VLC'], ['VLC', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
9,26 days,2,BRFOR,BEANR,"['24 OCT', ' 07:53', 'UTC-03:00']","['18 NOV', ' 22:00', 'UTC+01:00']",2020,"[['FOR', 'SUA'], ['SUA', 'CTB'], ['CTB', 'ANR']]","['MSC', 'MSC']"
10,25 days,3,BRFOR,BEANR,"['4 NOV', ' 16:57', 'UTC-03:00']","['29 NOV', ' 02:00', 'UTC+01:00']",875,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'LEH'], ['LEH', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC', 'MSC']"
