,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
0,11 days,1,BRFOR,NLRTM,"['20 OCT', ' 18:27', 'UTC-03:00']","['31 OCT', ' 15:00', 'UTC+01:00']",700,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM']]","['Hapag-Lloyd, MSC']"
1,17 days,1,BRFOR,NLRTM,"['20 OCT', ' 00:00', 'UTC-03:00']","['5 NOV', ' 07:59', 'UTC+01:00']",730,"[['FOR', 'NAT', 'VGO'], ['VGO', 'RTM']]","['CMA CGM', 'CMA CGM, X-Press Feeders']"
2,16 days,2,BRFOR,BEANR,"['20 OCT', ' 18:27', 'UTC-03:00']","['5 NOV', ' 12:23', 'UTC+01:00']",755,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
3,15 days,2,BRFOR,BEANR,"['20 OCT', ' 18:27', 'UTC-03:00']","['4 NOV', ' 01:00', 'UTC+01:00']",760,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
4,23 days,2,BRFOR,BEANR,"['28 OCT', ' 07:08', 'UTC-03:00']","['19 NOV', ' 12:00', 'UTC+01:00']",780,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
5,11 days,2,BRFOR,BEANR,"['20 OCT', ' 18:27', 'UTC-03:00']","['31 OCT', ' 18:03', 'UTC+01:00']",795,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC']"
6,17 days,2,BRFOR,BEANR,"['24 OCT', ' 02:27', 'UTC-03:00']","['10 NOV', ' 02:45', 'UTC+01:00']",800,"[['FOR', 'PEC'], ['PEC', 'LPA'], ['LPA', 'ANR']]","['MSC', 'MSC']"
7,24 days,2,BRFOR,BEANR,"['20 OCT', ' 00:00', 'UTC-03:00']","['13 NOV', ' 00:00', 'UTC+01:00']",810,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM', 'LEH'], ['LEH', 'LEH'], ['LEH', 'ANR']]","['CMA CGM', 'CMA CGM']"
8,17 days,2,BRFOR,BEANR,"['20 OCT', ' 00:00', 'UTC-03:00']","['5 NOV', ' 11:02', 'UTC+01:00']",825,"[['FOR', 'NAT', 'VGO'], ['VGO', 'RTM'], ['RTM', 'ANR']]","['CMA CGM', 'CMA CGM, X-Press Feeders']"
9,21 days,2,BRFOR,BEANR,"['4 NOV', ' 17:27', 'UTC-03:00']","['25 NOV', ' 06:00', 'UTC+01:00']",925,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP', 'BRV', 'HAM'], ['HAM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
10,25 days,2,BRFOR,BEANR,"['24 OCT', ' 02:27', 'UTC-03:00']","['17 NOV', ' 13:00', 'UTC+01:00']",965,"[['FOR', 'PEC'], ['PEC', 'LPA', 'VLC'], ['VLC', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
11,22 days,3,BRFOR,BEANR,"['20 OCT', ' 18:27', 'UTC-03:00']","['11 NOV', ' 18:00', 'UTC+01:00']",900,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'VGO'], ['VGO', 'RTM', 'ANR']]","['Hapag-Lloyd', 'CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd, MSC, W.E.C. Lines']"
12,22 days,3,BRFOR,BEANR,"['20 OCT', ' 18:27', 'UTC-03:00']","['11 NOV', ' 18:00', 'UTC+01:00']",905,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'LEI', 'VGO'], ['VGO', 'RTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd, MSC, W.E.C. Lines']"
13,18 days,3,BRFOR,BEANR,"['20 OCT', ' 18:27', 'UTC-03:00']","['7 NOV', ' 20:45', 'UTC+01:00']",1080,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ORK'], ['ORK', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC', 'MSC']"
14,26 days,3,BRFOR,BEANR,"['23 OCT', ' 00:27', 'UTC-03:00']","['18 NOV', ' 03:04', 'UTC+01:00']",1400,"[['FOR', 'PEC'], ['PEC', 'SUA', 'SSZ'], ['SSZ', 'PTM', 'LGP', 'RTM'], ['RTM', 'ANR']]","['Maersk, MSC', 'CMA CGM, Hamburg Sud, Maersk']"
15,24 days,3,BRFOR,BEANR,"['22 OCT', ' 01:53', 'UTC-03:00']","['14 NOV', ' 09:10', 'UTC+01:00']",2115,"[['FOR', 'SUA'], ['SUA', 'CTB'], ['CTB', 'ZEE'], ['ZEE', 'ANR']]","['MSC', 'MSC']"
16,11 days,2,BRFOR,NLVLI,"['20 OCT', ' 18:27', 'UTC-03:00']","['31 OCT', ' 17:11', 'UTC+01:00']",775,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'VLI']]","['Hapag-Lloyd, MSC']"
17,17 days,2,BRFOR,NLVLI,"['20 OCT', ' 00:00', 'UTC-03:00']","['5 NOV', ' 10:05', 'UTC+01:00']",800,"[['FOR', 'NAT', 'VGO'], ['VGO', 'RTM'], ['RTM', 'VLI']]","['CMA CGM', 'CMA CGM, X-Press Feeders']"
18,16 days,3,BRFOR,NLVLI,"['20 OCT', ' 18:27', 'UTC-03:00']","['5 NOV', ' 13:59', 'UTC+01:00']",815,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'MSC']"
19,15 days,3,BRFOR,NLVLI,"['20 OCT', ' 18:27', 'UTC-03:00']","['4 NOV', ' 02:36', 'UTC+01:00']",820,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
20,23 days,3,BRFOR,NLVLI,"['28 OCT', ' 07:08', 'UTC-03:00']","['19 NOV', ' 13:32', 'UTC+01:00']",835,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR'], ['ANR', 'VLI']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
21,17 days,3,BRFOR,NLVLI,"['24 OCT', ' 02:27', 'UTC-03:00']","['10 NOV', ' 04:21', 'UTC+01:00']",860,"[['FOR', 'PEC'], ['PEC', 'LPA'], ['LPA', 'ANR'], ['ANR', 'VLI']]","['MSC', 'MSC']"
22,24 days,3,BRFOR,NLVLI,"['20 OCT', ' 00:00', 'UTC-03:00']","['13 NOV', ' 01:38', 'UTC+01:00']",870,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM', 'LEH'], ['LEH', 'LEH'], ['LEH', 'ANR'], ['ANR', 'VLI']]","['CMA CGM', 'CMA CGM']"
