,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
0,11 days,1,BRFOR,NLRTM,"['28 OCT', ' 19:27', 'UTC-03:00']","['8 NOV', ' 17:00', 'UTC+01:00']",700,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM']]","['Hapag-Lloyd, MSC']"
1,25 days,1,BRFOR,NLRTM,"['29 OCT', ' 00:00', 'UTC-03:00']","['22 NOV', ' 07:00', 'UTC+01:00']",1335,"[['FOR', 'PTP', 'CTG'], ['CTG', 'CAU', 'RTM']]","['CMA CGM', 'CMA CGM, COSCO, Hapag-Lloyd, OOCL']"
2,26 days,1,BRFOR,BEANR,"['27 OCT', ' 00:00', 'UTC-03:00']","['21 NOV', ' 22:00', 'UTC+01:00']",860,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM'], ['RTM', 'BRV', 'ANR']]","['CMA CGM', 'CMA CGM, Hapag-Lloyd, ONE, OOCL']"
3,15 days,2,BRFOR,BEANR,"['28 OCT', ' 19:27', 'UTC-03:00']","['12 NOV', ' 22:00', 'UTC+01:00']",755,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'MSC']"
4,21 days,2,BRFOR,BEANR,"['28 OCT', ' 19:27', 'UTC-03:00']","['18 NOV', ' 16:00', 'UTC+01:00']",760,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd, W.E.C. Lines']"
5,17 days,2,BRFOR,BEANR,"['4 NOV', ' 16:57', 'UTC-03:00']","['21 NOV', ' 06:00', 'UTC+01:00']",780,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP'], ['LGP', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
6,11 days,2,BRFOR,BEANR,"['28 OCT', ' 19:27', 'UTC-03:00']","['8 NOV', ' 20:03', 'UTC+01:00']",795,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM'], ['RTM', 'ANR']]","['Hapag-Lloyd, MSC']"
7,16 days,2,BRFOR,BEANR,"['25 OCT', ' 23:27', 'UTC-03:00']","['10 NOV', ' 06:00', 'UTC+01:00']",800,"[['FOR', 'PEC'], ['PEC', 'LPA'], ['LPA', 'ANR']]","['MSC', 'MSC']"
8,20 days,2,BRFOR,BEANR,"['28 OCT', ' 19:27', 'UTC-03:00']","['17 NOV', ' 22:00', 'UTC+01:00']",810,"[['FOR', 'PEC'], ['PEC', 'PTM'], ['PTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
9,24 days,2,BRFOR,BEANR,"['27 OCT', ' 00:00', 'UTC-03:00']","['20 NOV', ' 00:00', 'UTC+01:00']",810,"[['FOR', 'NAT', 'VGO', 'LGP', 'RTM', 'LEH'], ['LEH', 'LEH'], ['LEH', 'ANR']]","['CMA CGM', 'CMA CGM, COSCO, Evergreen']"
10,21 days,2,BRFOR,BEANR,"['4 NOV', ' 16:57', 'UTC-03:00']","['25 NOV', ' 06:00', 'UTC+01:00']",925,"[['FOR', 'PEC'], ['PEC', 'PTM', 'RTM', 'LGP', 'BRV', 'HAM'], ['HAM', 'ANR']]","['Hapag-Lloyd, MSC', 'Hapag-Lloyd']"
