,Origin,Destination,Departure time,Arrival time,Ports,Vessels,Dates
701,Valparaiso Valparaiso Terminal,Moerdijk Delta Marine Terminal BV,23 Dec 2022 01:30,18 Jan 2023 20:00,"['Valparaiso Valparaiso Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Moerdijk Delta Marine Terminal BV']","[['SAFMARINE BENGUELA', '9355367', 'CLX', 'HK', 'VRLA3', '2009']]","['23 Dec 2022 01:30', '16 Jan 2023 00:01', '17 Jan 2023 20:00', '18 Jan 2023 20:00']"
702,Valparaiso Valparaiso Terminal,Rotterdam APM 2 Terminal Maasvlakte II,02 Dec 2022 01:30,26 Dec 2022 07:00,"['Valparaiso Valparaiso Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II']","[['MAERSK BULAN', '9355343', 'CLX', 'SG', '9V7693', '2008']]","['02 Dec 2022 01:30', '26 Dec 2022 07:00']"
703,Valparaiso Valparaiso Terminal,Rotterdam APM 2 Terminal Maasvlakte II,09 Dec 2022 01:30,02 Jan 2023 00:01,"['Valparaiso Valparaiso Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II']","[['MAERSK BRANI', '9409352', 'CLX', 'SG', '9V8208', '2010']]","['09 Dec 2022 01:30', '02 Jan 2023 00:01']"
704,Valparaiso Valparaiso Terminal,Rotterdam APM 2 Terminal Maasvlakte II,16 Dec 2022 01:30,09 Jan 2023 00:01,"['Valparaiso Valparaiso Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II']","[['MAERSK BATAM', '9355331', 'CLX', 'SG', '9VHF2', '2008']]","['16 Dec 2022 01:30', '09 Jan 2023 00:01']"
705,Valparaiso Valparaiso Terminal,Rotterdam APM 2 Terminal Maasvlakte II,23 Dec 2022 01:30,16 Jan 2023 00:01,"['Valparaiso Valparaiso Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II']","[['SAFMARINE BENGUELA', '9355367', 'CLX', 'HK', 'VRLA3', '2009']]","['23 Dec 2022 01:30', '16 Jan 2023 00:01']"
706,Valparaiso Valparaiso Terminal,Vlissingen Kloosterboer Vlissingen VOF,02 Dec 2022 01:30,29 Dec 2022 03:00,"['Valparaiso Valparaiso Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vlissingen Kloosterboer Vlissingen VOF']","[['MAERSK BULAN', '9355343', 'CLX', 'SG', '9V7693', '2008']]","['02 Dec 2022 01:30', '26 Dec 2022 07:00', '28 Dec 2022 03:00', '29 Dec 2022 03:00']"
707,Valparaiso Valparaiso Terminal,Vlissingen Kloosterboer Vlissingen VOF,09 Dec 2022 01:30,04 Jan 2023 20:00,"['Valparaiso Valparaiso Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vlissingen Kloosterboer Vlissingen VOF']","[['MAERSK BRANI', '9409352', 'CLX', 'SG', '9V8208', '2010']]","['09 Dec 2022 01:30', '02 Jan 2023 00:01', '03 Jan 2023 20:00', '04 Jan 2023 20:00']"
708,Valparaiso Valparaiso Terminal,Vlissingen Kloosterboer Vlissingen VOF,16 Dec 2022 01:30,11 Jan 2023 20:00,"['Valparaiso Valparaiso Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vlissingen Kloosterboer Vlissingen VOF']","[['MAERSK BATAM', '9355331', 'CLX', 'SG', '9VHF2', '2008']]","['16 Dec 2022 01:30', '09 Jan 2023 00:01', '10 Jan 2023 20:00', '11 Jan 2023 20:00']"
709,Valparaiso Valparaiso Terminal,Vlissingen Kloosterboer Vlissingen VOF,23 Dec 2022 01:30,18 Jan 2023 20:00,"['Valparaiso Valparaiso Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vlissingen Kloosterboer Vlissingen VOF']","[['SAFMARINE BENGUELA', '9355367', 'CLX', 'HK', 'VRLA3', '2009']]","['23 Dec 2022 01:30', '16 Jan 2023 00:01', '17 Jan 2023 20:00', '18 Jan 2023 20:00']"
710,Vila do Conde Convicon Conteineres de ViladoConde,Amsterdam Container Terminal Vrede Amsterdam,12 Dec 2022 00:00,17 Jan 2023 05:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CELSIUS BOSTON', '-', '-', '-', '-', '-'], ['PEDRO ALVARES CABR', '9603219', 'ALCT1', 'BR', 'PPVG', '2013'], ['CAP SAN AUGUSTIN', '9622239', 'NEOSAMBA', 'DK', 'OXUN2', '2013']]","['12 Dec 2022 00:00', '14 Dec 2022 01:00', '18 Dec 2022 02:00', '23 Dec 2022 13:00', '26 Dec 2022 11:00', '17 Jan 2023 05:00']"
711,Vila do Conde Convicon Conteineres de ViladoConde,Amsterdam Container Terminal Vrede Amsterdam,19 Dec 2022 00:00,24 Jan 2023 05:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['ALIANCA LEBLON', '9292137', '-', 'BR', 'PPSV', '2005'], ['VICENTE PINZON', '9625396', 'ALCT1', 'BR', 'PPRP', '2014'], ['CAP SAN MALEAS', '9633941', 'NEOSAMBA', 'PA', '3FSS8', '2013']]","['19 Dec 2022 00:00', '21 Dec 2022 01:00', '25 Dec 2022 02:00', '30 Dec 2022 13:00', '03 Jan 2023 11:00', '24 Jan 2023 05:00']"
712,Vila do Conde Convicon Conteineres de ViladoConde,Amsterdam Container Terminal Vrede Amsterdam,26 Dec 2022 00:00,31 Jan 2023 05:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CELSIUS BOSTON', '-', '-', '-', '-', '-'], ['SEASPAN SANTOS', '-', 'ALCT1', '-', '-', '-'], ['CAP SAN RAPHAEL', '9622253', 'NEOSAMBA', 'DK', 'OXCL2', '2013']]","['26 Dec 2022 00:00', '28 Dec 2022 01:00', '01 Jan 2023 02:00', '06 Jan 2023 13:00', '10 Jan 2023 11:00', '31 Jan 2023 05:00']"
713,Vila do Conde Convicon Conteineres de ViladoConde,Antwerp Europa Terminal Quay 869,12 Dec 2022 00:00,20 Jan 2023 22:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Antwerp Europa Terminal Quay 869']","[['CELSIUS BOSTON', '-', '-', '-', '-', '-'], ['PEDRO ALVARES CABR', '9603219', 'ALCT1', 'BR', 'PPVG', '2013']]","['12 Dec 2022 00:00', '14 Dec 2022 01:00', '18 Dec 2022 02:00', '20 Jan 2023 22:00']"
714,Vila do Conde Convicon Conteineres de ViladoConde,Antwerp Europa Terminal Quay 869,19 Dec 2022 00:00,27 Jan 2023 06:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Antwerp Europa Terminal Quay 869']","[['ALIANCA LEBLON', '9292137', '-', 'BR', 'PPSV', '2005'], ['VICENTE PINZON', '9625396', 'ALCT1', 'BR', 'PPRP', '2014']]","['19 Dec 2022 00:00', '21 Dec 2022 01:00', '25 Dec 2022 02:00', '27 Jan 2023 06:00']"
715,Vila do Conde Convicon Conteineres de ViladoConde,Antwerp Europa Terminal Quay 869,26 Dec 2022 00:00,03 Feb 2023 06:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Antwerp Europa Terminal Quay 869']","[['CELSIUS BOSTON', '-', '-', '-', '-', '-'], ['SEASPAN SANTOS', '-', 'ALCT1', '-', '-', '-']]","['26 Dec 2022 00:00', '28 Dec 2022 01:00', '01 Jan 2023 02:00', '03 Feb 2023 06:00']"
716,Vila do Conde Convicon Conteineres de ViladoConde,Moerdijk Delta Marine Terminal BV,12 Dec 2022 00:00,17 Jan 2023 15:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Moerdijk Delta Marine Terminal BV']","[['CELSIUS BOSTON', '-', '-', '-', '-', '-'], ['PEDRO ALVARES CABR', '9603219', 'ALCT1', 'BR', 'PPVG', '2013'], ['CAP SAN AUGUSTIN', '9622239', 'NEOSAMBA', 'DK', 'OXUN2', '2013']]","['12 Dec 2022 00:00', '14 Dec 2022 01:00', '18 Dec 2022 02:00', '23 Dec 2022 13:00', '26 Dec 2022 11:00', '17 Jan 2023 15:00']"
717,Vila do Conde Convicon Conteineres de ViladoConde,Moerdijk Delta Marine Terminal BV,19 Dec 2022 00:00,24 Jan 2023 15:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Moerdijk Delta Marine Terminal BV']","[['ALIANCA LEBLON', '9292137', '-', 'BR', 'PPSV', '2005'], ['VICENTE PINZON', '9625396', 'ALCT1', 'BR', 'PPRP', '2014'], ['CAP SAN MALEAS', '9633941', 'NEOSAMBA', 'PA', '3FSS8', '2013']]","['19 Dec 2022 00:00', '21 Dec 2022 01:00', '25 Dec 2022 02:00', '30 Dec 2022 13:00', '03 Jan 2023 11:00', '24 Jan 2023 15:00']"
718,Vila do Conde Convicon Conteineres de ViladoConde,Moerdijk Delta Marine Terminal BV,26 Dec 2022 00:00,31 Jan 2023 15:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Moerdijk Delta Marine Terminal BV']","[['CELSIUS BOSTON', '-', '-', '-', '-', '-'], ['SEASPAN SANTOS', '-', 'ALCT1', '-', '-', '-'], ['CAP SAN RAPHAEL', '9622253', 'NEOSAMBA', 'DK', 'OXCL2', '2013']]","['26 Dec 2022 00:00', '28 Dec 2022 01:00', '01 Jan 2023 02:00', '06 Jan 2023 13:00', '10 Jan 2023 11:00', '31 Jan 2023 15:00']"
719,Vila do Conde Convicon Conteineres de ViladoConde,Rotterdam Hutchison Ports Delta II,12 Dec 2022 00:00,14 Jan 2023 07:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II']","[['CELSIUS BOSTON', '-', '-', '-', '-', '-'], ['PEDRO ALVARES CABR', '9603219', 'ALCT1', 'BR', 'PPVG', '2013']]","['12 Dec 2022 00:00', '14 Dec 2022 01:00', '18 Dec 2022 02:00', '14 Jan 2023 07:00']"
720,Vila do Conde Convicon Conteineres de ViladoConde,Rotterdam Hutchison Ports Delta II,19 Dec 2022 00:00,21 Jan 2023 07:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II']","[['ALIANCA LEBLON', '9292137', '-', 'BR', 'PPSV', '2005'], ['VICENTE PINZON', '9625396', 'ALCT1', 'BR', 'PPRP', '2014']]","['19 Dec 2022 00:00', '21 Dec 2022 01:00', '25 Dec 2022 02:00', '21 Jan 2023 07:00']"
721,Vila do Conde Convicon Conteineres de ViladoConde,Rotterdam Hutchison Ports Delta II,26 Dec 2022 00:00,28 Jan 2023 07:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II']","[['CELSIUS BOSTON', '-', '-', '-', '-', '-'], ['SEASPAN SANTOS', '-', 'ALCT1', '-', '-', '-']]","['26 Dec 2022 00:00', '28 Dec 2022 01:00', '01 Jan 2023 02:00', '28 Jan 2023 07:00']"
722,Vila do Conde Convicon Conteineres de ViladoConde,Vlissingen Kloosterboer Vlissingen VOF,12 Dec 2022 00:00,17 Jan 2023 15:00,"['Vila do Conde Convicon Conteineres de ViladoConde', 'Pecem Pecem Port of', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Vlissingen Kloosterboer Vlissingen VOF']","[['CELSIUS BOSTON', '-', '-', '-', '-', '-'], ['PEDRO ALVARES CABR', '9603219', 'ALCT1', 'BR', 'PPVG', '2013'], ['CAP SAN AUGUSTIN', '9622239', 'NEOSAMBA', 'DK', 'OXUN2', '2013']]","['12 Dec 2022 00:00', '14 Dec 2022 01:00', '18 Dec 2022 02:00', '23 Dec 2022 13:00', '26 Dec 2022 11:00', '17 Jan 2023 15:00']"
