,Origin,Destination,Departure time,Arrival time,Ports,Vessels,Dates
0,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,21 Dec 2022 05:22,28 Jan 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BRATAN', '9394894', 'CLX', 'SG', '9V8044', '2009']]","['21 Dec 2022 05:22', '27 Dec 2022 07:00', '01 Jan 2023 23:00', '28 Jan 2023 06:00']"
1,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,21 Dec 2022 05:22,28 Jan 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Antwerp PSA Antwerp K913 Noordzee']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BRATAN', '9394894', 'CLX', 'SG', '9V8044', '2009']]","['21 Dec 2022 05:22', '28 Jan 2023 06:00']"
2,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,28 Dec 2022 15:30,04 Feb 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BALI', '9394870', 'CLX', 'SG', '9V7499', '2008']]","['28 Dec 2022 15:30', '03 Jan 2023 07:00', '07 Jan 2023 07:00', '04 Feb 2023 06:00']"
3,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,28 Dec 2022 15:30,04 Feb 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Antwerp PSA Antwerp K913 Noordzee']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BALI', '9394870', 'CLX', 'SG', '9V7499', '2008']]","['28 Dec 2022 15:30', '04 Feb 2023 06:00']"
4,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,04 Jan 2023 15:30,11 Feb 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BATUR', '9402029', 'CLX', 'SG', '9V8207', '2009']]","['04 Jan 2023 15:30', '10 Jan 2023 07:00', '14 Jan 2023 07:00', '11 Feb 2023 06:00']"
5,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,04 Jan 2023 15:30,11 Feb 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Antwerp PSA Antwerp K913 Noordzee']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BATUR', '9402029', 'CLX', 'SG', '9V8207', '2009']]","['04 Jan 2023 15:30', '11 Feb 2023 06:00']"
6,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,11 Jan 2023 15:30,20 Feb 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BULAN', '9355343', 'CLX', 'SG', '9V7693', '2008']]","['11 Jan 2023 15:30', '17 Jan 2023 07:00', '21 Jan 2023 07:00', '20 Feb 2023 06:00']"
7,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,11 Jan 2023 15:30,20 Feb 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Antwerp PSA Antwerp K913 Noordzee']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BULAN', '9355343', 'CLX', 'SG', '9V7693', '2008']]","['11 Jan 2023 15:30', '20 Feb 2023 06:00']"
8,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,18 Jan 2023 15:30,27 Feb 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BRANI', '9409352', 'CLX', 'SG', '9V8208', '2010']]","['18 Jan 2023 15:30', '24 Jan 2023 07:00', '28 Jan 2023 07:00', '27 Feb 2023 06:00']"
9,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,18 Jan 2023 15:30,27 Feb 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Antwerp PSA Antwerp K913 Noordzee']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BRANI', '9409352', 'CLX', 'SG', '9V8208', '2010']]","['18 Jan 2023 15:30', '27 Feb 2023 06:00']"
10,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,18 Jan 2023 15:30,27 Feb 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BRANI', '9409352', 'CLX', 'SG', '9V8208', '2010']]","['18 Jan 2023 15:30', '24 Jan 2023 07:00', '28 Jan 2023 07:00', '27 Feb 2023 06:00']"
11,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,18 Jan 2023 15:30,27 Feb 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Antwerp PSA Antwerp K913 Noordzee']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BRANI', '9409352', 'CLX', 'SG', '9V8208', '2010']]","['18 Jan 2023 15:30', '27 Feb 2023 06:00']"
12,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,25 Jan 2023 15:30,06 Mar 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BATAM', '9355331', 'CLX', 'SG', '9VHF2', '2008']]","['25 Jan 2023 15:30', '31 Jan 2023 07:00', '04 Feb 2023 07:00', '06 Mar 2023 06:00']"
13,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,25 Jan 2023 15:30,06 Mar 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Antwerp PSA Antwerp K913 Noordzee']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BATAM', '9355331', 'CLX', 'SG', '9VHF2', '2008']]","['25 Jan 2023 15:30', '06 Mar 2023 06:00']"
14,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,01 Feb 2023 15:30,13 Mar 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['SAFMARINE BENGUELA', '9355367', 'CLX', 'HK', 'VRLA3', '2009']]","['01 Feb 2023 15:30', '07 Feb 2023 07:00', '11 Feb 2023 07:00', '13 Mar 2023 06:00']"
15,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,01 Feb 2023 15:30,13 Mar 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Antwerp PSA Antwerp K913 Noordzee']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['SAFMARINE BENGUELA', '9355367', 'CLX', 'HK', 'VRLA3', '2009']]","['01 Feb 2023 15:30', '13 Mar 2023 06:00']"
16,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,08 Feb 2023 15:30,18 Mar 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BUTON', '9392925', 'CLX', 'SG', '9V7498', '2008']]","['08 Feb 2023 15:30', '14 Feb 2023 07:00', '19 Feb 2023 07:00', '18 Mar 2023 06:00']"
17,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,08 Feb 2023 15:30,18 Mar 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Antwerp PSA Antwerp K913 Noordzee']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BUTON', '9392925', 'CLX', 'SG', '9V7498', '2008']]","['08 Feb 2023 15:30', '18 Mar 2023 06:00']"
18,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,15 Feb 2023 15:30,25 Mar 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BRATAN', '9394894', 'CLX', 'SG', '9V8044', '2009']]","['15 Feb 2023 15:30', '21 Feb 2023 07:00', '26 Feb 2023 07:00', '25 Mar 2023 06:00']"
19,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,15 Feb 2023 15:30,25 Mar 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Antwerp PSA Antwerp K913 Noordzee']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BRATAN', '9394894', 'CLX', 'SG', '9V8044', '2009']]","['15 Feb 2023 15:30', '25 Mar 2023 06:00']"
20,Arica Terminal Puerto Arica (TPA),Moerdijk Delta Marine Terminal BV,21 Dec 2022 05:22,25 Jan 2023 19:59,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Moerdijk Delta Marine Terminal BV']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BUTON', '9392925', 'CLX', 'SG', '9V7498', '2008']]","['21 Dec 2022 05:22', '03 Jan 2023 12:30', '06 Jan 2023 14:30', '25 Jan 2023 19:59']"
21,Arica Terminal Puerto Arica (TPA),Moerdijk Delta Marine Terminal BV,21 Dec 2022 05:22,25 Jan 2023 19:59,"['Arica Terminal Puerto Arica (TPA)', 'Moerdijk Delta Marine Terminal BV']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BUTON', '9392925', 'CLX', 'SG', '9V7498', '2008']]","['21 Dec 2022 05:22', '25 Jan 2023 19:59']"
22,Arica Terminal Puerto Arica (TPA),Moerdijk Delta Marine Terminal BV,28 Dec 2022 15:30,01 Feb 2023 20:01,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Moerdijk Delta Marine Terminal BV']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BRATAN', '9394894', 'CLX', 'SG', '9V8044', '2009']]","['28 Dec 2022 15:30', '10 Jan 2023 12:30', '13 Jan 2023 14:30', '01 Feb 2023 20:01']"
23,Arica Terminal Puerto Arica (TPA),Moerdijk Delta Marine Terminal BV,28 Dec 2022 15:30,01 Feb 2023 20:01,"['Arica Terminal Puerto Arica (TPA)', 'Moerdijk Delta Marine Terminal BV']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BRATAN', '9394894', 'CLX', 'SG', '9V8044', '2009']]","['28 Dec 2022 15:30', '01 Feb 2023 20:01']"
24,Arica Terminal Puerto Arica (TPA),Moerdijk Delta Marine Terminal BV,04 Jan 2023 15:30,08 Feb 2023 19:59,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Moerdijk Delta Marine Terminal BV']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BALI', '9394870', 'CLX', 'SG', '9V7499', '2008']]","['04 Jan 2023 15:30', '17 Jan 2023 12:30', '20 Jan 2023 14:30', '08 Feb 2023 19:59']"
25,Arica Terminal Puerto Arica (TPA),Moerdijk Delta Marine Terminal BV,04 Jan 2023 15:30,08 Feb 2023 19:59,"['Arica Terminal Puerto Arica (TPA)', 'Moerdijk Delta Marine Terminal BV']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BALI', '9394870', 'CLX', 'SG', '9V7499', '2008']]","['04 Jan 2023 15:30', '08 Feb 2023 19:59']"
26,Arica Terminal Puerto Arica (TPA),Moerdijk Delta Marine Terminal BV,11 Jan 2023 15:30,15 Feb 2023 20:00,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Moerdijk Delta Marine Terminal BV']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BATUR', '9402029', 'CLX', 'SG', '9V8207', '2009']]","['11 Jan 2023 15:30', '24 Jan 2023 12:30', '27 Jan 2023 14:30', '15 Feb 2023 20:00']"
