,ScrapingDate,ScrapingSite,Origin,Destination,OriginName,DestinationName,EstimatedDepartureTime,EstimatedArrivalTime,EstimatedTotalTransitTimeDays,EstimatedTotalTransitTimeHours,TotalCO2EmissionsKg,TotalDistanceMeters,CutOffs,NumberOfLegs,Legs
433,2022-11-29,Maersk,Phnom Penh Phnom Penh Autonomous Port,Amsterdam Container Terminal Vrede Amsterdam,Phnom Penh Phnom Penh Autonomous Port,Amsterdam Container Terminal Vrede Amsterdam,2022-12-18 23:00:00,2023-01-31 12:00:00,44 days,,,,,,"{'1': {'OriginName': 'Phnom Penh Phnom Penh Autonomous Port', 'DestinationName': 'Ho Chi Minh City Cat Lai Terminal', 'Vessel': {'vessel_name': 'PHUOC LONG 36', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '53L FDR', 'callsign': ''}, 'EstimatedDepartureTime': '2022-12-18 23:00:00', 'EstimatedArrivalTime': '2022-12-20 07:00:00'}, '2': {'OriginName': 'Ho Chi Minh City Cat Lai Terminal', 'DestinationName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'Vessel': {'vessel_name': 'MAERSK JAIPUR', 'imo': '9343974', 'flag': 'MT', 'build_year_ship': '2008', 'service': '', 'callsign': '9HA4559'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-26 14:00:00'}, '3': {'OriginName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'DestinationName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vessel': {'vessel_name': 'MSC ISTANBUL', 'imo': '9606326', 'flag': 'LR', 'build_year_ship': '2015', 'service': 'AE1', 'callsign': 'D5LL2'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-28 06:00:00'}, '4': {'OriginName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'DestinationName': 'Amsterdam Container Terminal Vrede Amsterdam', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2023-01-03 07:00:00'}}"
434,2022-11-29,Maersk,Phnom Penh Phnom Penh Autonomous Port,Antwerp Deurganck Terminal Quays 1732-1742,Phnom Penh Phnom Penh Autonomous Port,Antwerp Deurganck Terminal Quays 1732-1742,2022-12-04 23:00:00,2023-01-23 22:00:00,50 days,,,,,,"{'1': {'OriginName': 'Phnom Penh Phnom Penh Autonomous Port', 'DestinationName': 'Ho Chi Minh City Cat Lai Terminal', 'Vessel': {'vessel_name': 'PHUOC LONG 36', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '53L FDR', 'callsign': ''}, 'EstimatedDepartureTime': '2022-12-04 23:00:00', 'EstimatedArrivalTime': '2022-12-06 07:00:00'}, '2': {'OriginName': 'Ho Chi Minh City Cat Lai Terminal', 'DestinationName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'Vessel': {'vessel_name': 'MAERSK JAIPUR', 'imo': '9343974', 'flag': 'MT', 'build_year_ship': '2008', 'service': '', 'callsign': '9HA4559'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-12 14:00:00'}, '3': {'OriginName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'DestinationName': 'Antwerp Deurganck Terminal Quays 1732-1742', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2023-01-23 22:00:00'}}"
435,2022-11-29,Maersk,Phnom Penh Phnom Penh Autonomous Port,Antwerp Deurganck Terminal Quays 1732-1742,Phnom Penh Phnom Penh Autonomous Port,Antwerp Deurganck Terminal Quays 1732-1742,2022-12-04 23:00:00,2023-01-10 19:00:00,37 days,,,,,,"{'1': {'OriginName': 'Phnom Penh Phnom Penh Autonomous Port', 'DestinationName': 'Ho Chi Minh City Cat Lai Terminal', 'Vessel': {'vessel_name': 'PHUOC LONG 36', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '53L FDR', 'callsign': ''}, 'EstimatedDepartureTime': '2022-12-04 23:00:00', 'EstimatedArrivalTime': '2022-12-06 07:00:00'}, '2': {'OriginName': 'Ho Chi Minh City Cat Lai Terminal', 'DestinationName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'Vessel': {'vessel_name': 'MAERSK JAIPUR', 'imo': '9343974', 'flag': 'MT', 'build_year_ship': '2008', 'service': '', 'callsign': '9HA4559'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-12 14:00:00'}, '3': {'OriginName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'DestinationName': 'Antwerp Deurganck Terminal Quays 1732-1742', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2023-01-10 19:00:00'}}"
436,2022-11-29,Maersk,Phnom Penh Phnom Penh Autonomous Port,Antwerp Deurganck Terminal Quays 1732-1742,Phnom Penh Phnom Penh Autonomous Port,Antwerp Deurganck Terminal Quays 1732-1742,2022-12-11 23:00:00,2023-01-23 22:00:00,43 days,,,,,,"{'1': {'OriginName': 'Phnom Penh Phnom Penh Autonomous Port', 'DestinationName': 'Ho Chi Minh City Cat Lai Terminal', 'Vessel': {'vessel_name': 'PHUOC LONG 36', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '53L FDR', 'callsign': ''}, 'EstimatedDepartureTime': '2022-12-11 23:00:00', 'EstimatedArrivalTime': '2022-12-13 07:00:00'}, '2': {'OriginName': 'Ho Chi Minh City Cat Lai Terminal', 'DestinationName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'Vessel': {'vessel_name': 'MAERSK JAIPUR', 'imo': '9343974', 'flag': 'MT', 'build_year_ship': '2008', 'service': '', 'callsign': '9HA4559'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-19 14:00:00'}, '3': {'OriginName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'DestinationName': 'Antwerp Deurganck Terminal Quays 1732-1742', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2023-01-23 22:00:00'}}"
437,2022-11-29,Maersk,Phnom Penh Phnom Penh Autonomous Port,Antwerp Deurganck Terminal Quays 1732-1742,Phnom Penh Phnom Penh Autonomous Port,Antwerp Deurganck Terminal Quays 1732-1742,2022-12-11 23:00:00,2023-01-16 22:00:00,36 days,,,,,,"{'1': {'OriginName': 'Phnom Penh Phnom Penh Autonomous Port', 'DestinationName': 'Ho Chi Minh City Cat Lai Terminal', 'Vessel': {'vessel_name': 'PHUOC LONG 36', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '53L FDR', 'callsign': ''}, 'EstimatedDepartureTime': '2022-12-11 23:00:00', 'EstimatedArrivalTime': '2022-12-13 07:00:00'}, '2': {'OriginName': 'Ho Chi Minh City Cat Lai Terminal', 'DestinationName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'Vessel': {'vessel_name': 'MAERSK JAIPUR', 'imo': '9343974', 'flag': 'MT', 'build_year_ship': '2008', 'service': '', 'callsign': '9HA4559'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-19 14:00:00'}, '3': {'OriginName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'DestinationName': 'Antwerp Deurganck Terminal Quays 1732-1742', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2023-01-16 22:00:00'}}"
438,2022-11-29,Maersk,Phnom Penh Phnom Penh Autonomous Port,Antwerp Deurganck Terminal Quays 1732-1742,Phnom Penh Phnom Penh Autonomous Port,Antwerp Deurganck Terminal Quays 1732-1742,2022-12-18 23:00:00,2023-01-30 22:00:00,43 days,,,,,,"{'1': {'OriginName': 'Phnom Penh Phnom Penh Autonomous Port', 'DestinationName': 'Ho Chi Minh City Cat Lai Terminal', 'Vessel': {'vessel_name': 'PHUOC LONG 36', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '53L FDR', 'callsign': ''}, 'EstimatedDepartureTime': '2022-12-18 23:00:00', 'EstimatedArrivalTime': '2022-12-20 07:00:00'}, '2': {'OriginName': 'Ho Chi Minh City Cat Lai Terminal', 'DestinationName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'Vessel': {'vessel_name': 'MAERSK JAIPUR', 'imo': '9343974', 'flag': 'MT', 'build_year_ship': '2008', 'service': '', 'callsign': '9HA4559'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-26 14:00:00'}, '3': {'OriginName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'DestinationName': 'Antwerp Deurganck Terminal Quays 1732-1742', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2023-01-30 22:00:00'}}"
439,2022-11-29,Maersk,Phnom Penh Phnom Penh Autonomous Port,Moerdijk Delta Marine Terminal BV,Phnom Penh Phnom Penh Autonomous Port,Moerdijk Delta Marine Terminal BV,2022-12-04 23:00:00,2023-01-24 22:00:00,51 days,,,,,,"{'1': {'OriginName': 'Phnom Penh Phnom Penh Autonomous Port', 'DestinationName': 'Ho Chi Minh City Cat Lai Terminal', 'Vessel': {'vessel_name': 'PHUOC LONG 36', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '53L FDR', 'callsign': ''}, 'EstimatedDepartureTime': '2022-12-04 23:00:00', 'EstimatedArrivalTime': '2022-12-06 07:00:00'}, '2': {'OriginName': 'Ho Chi Minh City Cat Lai Terminal', 'DestinationName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'Vessel': {'vessel_name': 'MAERSK JAIPUR', 'imo': '9343974', 'flag': 'MT', 'build_year_ship': '2008', 'service': '', 'callsign': '9HA4559'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-12 14:00:00'}, '3': {'OriginName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'DestinationName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vessel': {'vessel_name': 'MAERSK EDMONTON', 'imo': '9458030', 'flag': 'DK', 'build_year_ship': '2011', 'service': 'AE1', 'callsign': 'OYHV2'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-14 06:00:00'}, '4': {'OriginName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'DestinationName': 'Moerdijk Delta Marine Terminal BV', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-27 07:00:00'}}"
440,2022-11-29,Maersk,Phnom Penh Phnom Penh Autonomous Port,Moerdijk Delta Marine Terminal BV,Phnom Penh Phnom Penh Autonomous Port,Moerdijk Delta Marine Terminal BV,2022-12-04 23:00:00,2023-01-12 00:01:00,38 days,,,,,,"{'1': {'OriginName': 'Phnom Penh Phnom Penh Autonomous Port', 'DestinationName': 'Ho Chi Minh City Cat Lai Terminal', 'Vessel': {'vessel_name': 'PHUOC LONG 36', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '53L FDR', 'callsign': ''}, 'EstimatedDepartureTime': '2022-12-04 23:00:00', 'EstimatedArrivalTime': '2022-12-06 07:00:00'}, '2': {'OriginName': 'Ho Chi Minh City Cat Lai Terminal', 'DestinationName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'Vessel': {'vessel_name': 'MAERSK JAIPUR', 'imo': '9343974', 'flag': 'MT', 'build_year_ship': '2008', 'service': '', 'callsign': '9HA4559'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-12 14:00:00'}, '3': {'OriginName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'DestinationName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vessel': {'vessel_name': 'MILAN MAERSK', 'imo': '9778820', 'flag': 'DK', 'build_year_ship': '2017', 'service': 'AE5', 'callsign': 'OWGK2'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-14 06:00:00'}, '4': {'OriginName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'DestinationName': 'Moerdijk Delta Marine Terminal BV', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-17 13:00:00'}}"
441,2022-11-29,Maersk,Phnom Penh Phnom Penh Autonomous Port,Moerdijk Delta Marine Terminal BV,Phnom Penh Phnom Penh Autonomous Port,Moerdijk Delta Marine Terminal BV,2022-12-11 23:00:00,2023-01-24 22:00:00,44 days,,,,,,"{'1': {'OriginName': 'Phnom Penh Phnom Penh Autonomous Port', 'DestinationName': 'Ho Chi Minh City Cat Lai Terminal', 'Vessel': {'vessel_name': 'PHUOC LONG 36', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '53L FDR', 'callsign': ''}, 'EstimatedDepartureTime': '2022-12-11 23:00:00', 'EstimatedArrivalTime': '2022-12-13 07:00:00'}, '2': {'OriginName': 'Ho Chi Minh City Cat Lai Terminal', 'DestinationName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'Vessel': {'vessel_name': 'MAERSK JAIPUR', 'imo': '9343974', 'flag': 'MT', 'build_year_ship': '2008', 'service': '', 'callsign': '9HA4559'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-19 14:00:00'}, '3': {'OriginName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'DestinationName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vessel': {'vessel_name': 'MAERSK EDMONTON', 'imo': '9458030', 'flag': 'DK', 'build_year_ship': '2011', 'service': 'AE1', 'callsign': 'OYHV2'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-21 06:00:00'}, '4': {'OriginName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'DestinationName': 'Moerdijk Delta Marine Terminal BV', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-27 07:00:00'}}"
442,2022-11-29,Maersk,Phnom Penh Phnom Penh Autonomous Port,Moerdijk Delta Marine Terminal BV,Phnom Penh Phnom Penh Autonomous Port,Moerdijk Delta Marine Terminal BV,2022-12-11 23:00:00,2023-01-19 00:01:00,38 days,,,,,,"{'1': {'OriginName': 'Phnom Penh Phnom Penh Autonomous Port', 'DestinationName': 'Ho Chi Minh City Cat Lai Terminal', 'Vessel': {'vessel_name': 'PHUOC LONG 36', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '53L FDR', 'callsign': ''}, 'EstimatedDepartureTime': '2022-12-11 23:00:00', 'EstimatedArrivalTime': '2022-12-13 07:00:00'}, '2': {'OriginName': 'Ho Chi Minh City Cat Lai Terminal', 'DestinationName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'Vessel': {'vessel_name': 'MAERSK JAIPUR', 'imo': '9343974', 'flag': 'MT', 'build_year_ship': '2008', 'service': '', 'callsign': '9HA4559'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-19 14:00:00'}, '3': {'OriginName': 'Tanjung Pelepas Pelabuhan Tanjung Pelepas Terminal', 'DestinationName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vessel': {'vessel_name': 'MERETE MAERSK', 'imo': '9632064', 'flag': 'DK', 'build_year_ship': '2014', 'service': 'AE5', 'callsign': 'OWQZ2'}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-21 06:00:00'}, '4': {'OriginName': 'Rotterdam APM 2 Terminal Maasvlakte II', 'DestinationName': 'Moerdijk Delta Marine Terminal BV', 'Vessel': {'vessel_name': 'barge', 'imo': '', 'flag': '', 'build_year_ship': '', 'service': '', 'callsign': ''}, 'EstimatedDepartureTime': '', 'EstimatedArrivalTime': '2022-12-24 15:31:00'}}"
