,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
3017,23 days,2,PEPAI,NLRTM,"['22 OCT', ' 05:00', 'UTC-05:00']","['13 NOV', ' 16:44', 'UTC+01:00']",1085,"[['PAI', 'BLB'], ['BLB', 'CTB', 'CAU', 'ZEE'], ['ZEE', 'RTM']]","['Maersk, MSC', 'MSC']"
3018,26 days,2,PEPAI,NLRTM,"['24 OCT', ' 19:00', 'UTC-05:00']","['19 NOV', ' 04:44', 'UTC+01:00']",1255,"[['PAI', 'CTB', 'MOB', 'ANR'], ['ANR', 'ORK'], ['ORK', 'RTM']]","['MSC', 'MSC', 'MSC']"
3019,26 days,2,PEPAI,NLRTM,"['22 OCT', ' 05:00', 'UTC-05:00']","['17 NOV', ' 06:00', 'UTC+01:00']",2125,"[['PAI', 'BLB'], ['BLB', 'ANR'], ['ANR', 'RTM']]","['Maersk, MSC', 'MSC', 'Containerships, MSC']"
3020,23 days,1,PEPAI,BEANR,"['22 OCT', ' 05:00', 'UTC-05:00']","['14 NOV', ' 10:00', 'UTC+01:00']",2070,"[['PAI', 'BLB'], ['BLB', 'ANR']]","['Maersk, MSC', 'MSC']"
3021,20 days,2,PEPAI,BEANR,"['24 OCT', ' 19:00', 'UTC-05:00']","['13 NOV', ' 22:10', 'UTC+01:00']",1065,"[['PAI', 'CTB'], ['CTB', 'ZEE'], ['ZEE', 'ANR']]","['MSC', 'MSC']"
3022,20 days,2,PEPAI,NLVLI,"['24 OCT', ' 19:00', 'UTC-05:00']","['13 NOV', ' 20:23', 'UTC+01:00']",1015,"[['PAI', 'CTB'], ['CTB', 'ZEE'], ['ZEE', 'VLI']]","['MSC', 'MSC']"
3023,24 days,2,PEPAI,NLVLI,"['22 OCT', ' 05:00', 'UTC-05:00']","['14 NOV', ' 18:26', 'UTC+01:00']",1050,"[['PAI', 'BLB'], ['BLB', 'RTM'], ['RTM', 'VLI']]","['Maersk, MSC', 'MSC']"
3024,20 days,1,PEPAI,BEZEE,"['24 OCT', ' 19:00', 'UTC-05:00']","['13 NOV', ' 19:00', 'UTC+01:00']",965,"[['PAI', 'CTB'], ['CTB', 'ZEE']]","['MSC', 'MSC']"
3025,21 days,2,PEPAI,BEZEE,"['24 OCT', ' 19:00', 'UTC-05:00']","['14 NOV', ' 15:14', 'UTC+01:00']",1020,"[['PAI', 'CTB', 'MOB', 'ANR'], ['ANR', 'DKK'], ['DKK', 'ZEE']]","['MSC', 'MSC']"
3026,27 days,2,PEPAI,BEZEE,"['24 OCT', ' 19:00', 'UTC-05:00']","['20 NOV', ' 20:59', 'UTC+01:00']",1020,"[['PAI', 'CTB', 'MOB', 'ANR'], ['ANR', 'DKK'], ['DKK', 'ZEE']]","['MSC', 'MSC']"
