,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
1273,24 days,1,ECPSJ,BEZEE,"['22 OCT', ' 12:00', 'UTC-05:00']","['15 NOV', ' 14:43', 'UTC+01:00']",1065,"[['PSJ', 'MIT', 'CTG', 'CAU', 'RTM', 'LGP', 'HAM', 'ANR'], ['ANR', 'ZEE']]","['CMA CGM, Hapag-Lloyd']"
1274,28 days,2,ECPSJ,BEZEE,"['22 OCT', ' 12:00', 'UTC-05:00']","['18 NOV', ' 18:42', 'UTC+01:00']",980,"[['PSJ', 'MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'ANR'], ['ANR', 'ZEE']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd, W.E.C. Lines']"
1275,17 days,2,ECPSJ,BEZEE,"['21 OCT', ' 19:45', 'UTC-05:00']","['7 NOV', ' 10:14', 'UTC+01:00']",985,"[['PSJ', 'GYE'], ['GYE', 'PAI', 'DVR', 'VLI'], ['VLI', 'ZEE']]",['Seatrade']
1276,28 days,2,ECPSJ,BEZEE,"['22 OCT', ' 12:00', 'UTC-05:00']","['19 NOV', ' 14:42', 'UTC+01:00']",1005,"[['PSJ', 'MIT', 'CTG', 'CAU', 'RTM', 'LGP'], ['LGP', 'ANR'], ['ANR', 'ZEE']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd']"
1277,17 days,2,ECPSJ,BEZEE,"['21 OCT', ' 04:44', 'UTC-05:00']","['7 NOV', ' 06:00', 'UTC+01:00']",1025,"[['PSJ', 'GYE'], ['GYE', 'CTB'], ['CTB', 'ZEE']]","['MSC', 'MSC']"
1278,17 days,2,ECPSJ,BEZEE,"['21 OCT', ' 04:44', 'UTC-05:00']","['7 NOV', ' 00:42', 'UTC+01:00']",1035,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'ZEE']]",['MSC']
1279,27 days,2,ECPSJ,BEZEE,"['22 OCT', ' 12:00', 'UTC-05:00']","['18 NOV', ' 08:42', 'UTC+01:00']",1140,"[['PSJ', 'MIT', 'CTG', 'CAU', 'RTM', 'LGP', 'HAM'], ['HAM', 'ANR'], ['ANR', 'ZEE']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd']"
1280,24 days,2,ECPSJ,BEZEE,"['22 OCT', ' 12:00', 'UTC-05:00']","['15 NOV', ' 08:45', 'UTC+01:00']",1145,"[['PSJ', 'MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'HAM', 'ANR'], ['ANR', 'ZEE']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd, YML']"
1281,25 days,2,ECPSJ,BEZEE,"['22 OCT', ' 12:00', 'UTC-05:00']","['15 NOV', ' 18:09', 'UTC+01:00']",1180,"[['PSJ', 'MIT', 'CTG', 'CAU'], ['CAU', 'LGP', 'RTM'], ['RTM', 'ZEE']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd']"
1282,25 days,2,ECPSJ,BEZEE,"['23 OCT', ' 22:00', 'UTC-05:00']","['17 NOV', ' 08:43', 'UTC+01:00']",1180,"[['PSJ', 'BUN', 'MOB'], ['MOB', 'CAU', 'LGP', 'RTM', 'ANR'], ['ANR', 'ZEE']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
