,Lead time,Transfers,Origin,Destination,Departure,Arrival,kg CO2e/TEU,Ports,Carriers
1273,18 days,2,ECPSJ,NLRTM,"['20 OCT', ' 02:44', 'UTC-05:00']","['7 NOV', ' 00:51', 'UTC+01:00']",1035,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR'], ['ANR', 'RTM']]",['MSC']
1274,25 days,2,ECPSJ,NLRTM,"['23 OCT', ' 22:00', 'UTC-05:00']","['17 NOV', ' 20:30', 'UTC+01:00']",1105,"[['PSJ', 'BUN', 'MOB'], ['MOB', 'CAU', 'LGP'], ['LGP', 'RTM']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd']"
1275,30 days,2,ECPSJ,NLRTM,"['23 OCT', ' 22:00', 'UTC-05:00']","['23 NOV', ' 00:01', 'UTC+01:00']",1195,"[['PSJ', 'BUN', 'MOB', 'CTG', 'PTM'], ['PTM', 'LEI'], ['LEI', 'VGO', 'RTM']]","['Hapag-Lloyd', 'Hapag-Lloyd', 'Hapag-Lloyd, W.E.C. Lines']"
1276,28 days,1,ECPSJ,BEANR,"['21 OCT', ' 13:00', 'UTC-05:00']","['18 NOV', ' 16:00', 'UTC+01:00']",890,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'ANR']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd, W.E.C. Lines']"
1277,29 days,1,ECPSJ,BEANR,"['21 OCT', ' 13:00', 'UTC-05:00']","['19 NOV', ' 12:00', 'UTC+01:00']",915,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM', 'LGP'], ['LGP', 'ANR']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd']"
1278,19 days,1,ECPSJ,BEANR,"['21 OCT', ' 13:00', 'UTC-05:00']","['9 NOV', ' 00:03', 'UTC+01:00']",925,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'ANR']]","['CMA CGM, Hapag-Lloyd']"
1279,18 days,1,ECPSJ,BEANR,"['20 OCT', ' 02:44', 'UTC-05:00']","['6 NOV', ' 22:00', 'UTC+01:00']",945,"[['PSJ', 'GYE'], ['GYE', 'CTB', 'MOB', 'ANR']]",['MSC']
1280,28 days,1,ECPSJ,BEANR,"['21 OCT', ' 13:00', 'UTC-05:00']","['18 NOV', ' 00:01', 'UTC+01:00']",1050,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM', 'LGP', 'HAM'], ['HAM', 'ANR']]","['CMA CGM, Hapag-Lloyd', 'CMA CGM, Hapag-Lloyd, ONE']"
1281,29 days,1,ECPSJ,BEANR,"['21 OCT', ' 13:00', 'UTC-05:00']","['19 NOV', ' 04:11', 'UTC+01:00']",1055,"[['PSJ', 'PCN', 'MIT', 'CTG', 'CAU', 'RTM'], ['RTM', 'HAM', 'ANR']]","['CMA CGM, Hapag-Lloyd', 'Hapag-Lloyd, HMM, ONE, YML']"
1282,25 days,1,ECPSJ,BEANR,"['23 OCT', ' 22:00', 'UTC-05:00']","['17 NOV', ' 06:00', 'UTC+01:00']",1090,"[['PSJ', 'BUN', 'MOB'], ['MOB', 'CAU', 'LGP', 'RTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1283,25 days,1,ECPSJ,BEANR,"['23 OCT', ' 22:00', 'UTC-05:00']","['17 NOV', ' 22:00', 'UTC+01:00']",1140,"[['PSJ', 'BUN', 'MOB', 'CTG', 'PTM'], ['PTM', 'ANR']]","['Hapag-Lloyd', 'Hapag-Lloyd']"
1284,17 days,2,ECPSJ,BEANR,"['14 OCT', ' 19:45', 'UTC-05:00']","['31 OCT', ' 11:03', 'UTC+01:00']",1005,"[['PSJ', 'GYE'], ['GYE', 'PAI', 'DVR', 'VLI'], ['VLI', 'ANR']]",['Seatrade']
