,Origin,Destination,Departure time,Arrival time,Ports,Vessels,Dates
1054,Manaus Chibatao,Vlissingen Kloosterboer Vlissingen VOF,07 Mar 2023 16:00,10 Apr 2023 15:00,"['Manaus Chibatao', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Vlissingen Kloosterboer Vlissingen VOF']","[['BARTOLOMEU DIAS', '9625384', 'ALCT1', 'BR', 'PPSO', '2014'], ['CAP SAN ARTEMISSIO', '9633939', 'NEOSAMBA', 'PA', '3EQA4', '2013']]","['07 Mar 2023 16:00', '17 Mar 2023 13:00', '20 Mar 2023 11:00', '10 Apr 2023 15:00']"
1055,Manaus Chibatao,Vlissingen Kloosterboer Vlissingen VOF,07 Mar 2023 16:00,10 Apr 2023 15:00,"['Manaus Chibatao', 'Vlissingen Kloosterboer Vlissingen VOF']","[['BARTOLOMEU DIAS', '9625384', 'ALCT1', 'BR', 'PPSO', '2014'], ['CAP SAN ARTEMISSIO', '9633939', 'NEOSAMBA', 'PA', '3EQA4', '2013']]","['07 Mar 2023 16:00', '10 Apr 2023 15:00']"
1056,Manaus Chibatao,Vlissingen Kloosterboer Vlissingen VOF,14 Mar 2023 16:00,17 Apr 2023 15:00,"['Manaus Chibatao', 'Santos Santos, Santos Brasil Terminal', 'Rotterdam Hutchison Ports Delta II', 'Vlissingen Kloosterboer Vlissingen VOF']","[['PEDRO ALVARES CABR', '9603219', 'ALCT1', 'BR', 'PPVG', '2013'], ['CAP SAN LORENZO', '9622227', 'NEOSAMBA', 'DK', 'OXOF2', '2013']]","['14 Mar 2023 16:00', '24 Mar 2023 13:00', '27 Mar 2023 11:00', '17 Apr 2023 15:00']"
1057,Manaus Chibatao,Vlissingen Kloosterboer Vlissingen VOF,14 Mar 2023 16:00,17 Apr 2023 15:00,"['Manaus Chibatao', 'Vlissingen Kloosterboer Vlissingen VOF']","[['PEDRO ALVARES CABR', '9603219', 'ALCT1', 'BR', 'PPVG', '2013'], ['CAP SAN LORENZO', '9622227', 'NEOSAMBA', 'DK', 'OXOF2', '2013']]","['14 Mar 2023 16:00', '17 Apr 2023 15:00']"
1058,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,29 Jan 2023 22:00,28 Feb 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN MARCO', '9622215', 'NEOSAMBA', 'DK', 'OXDI2', '2013']]","['29 Jan 2023 22:00', '25 Feb 2023 07:00', '27 Feb 2023 15:00', '28 Feb 2023 05:00']"
1059,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,29 Jan 2023 22:00,28 Feb 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN MARCO', '9622215', 'NEOSAMBA', 'DK', 'OXDI2', '2013']]","['29 Jan 2023 22:00', '28 Feb 2023 05:00']"
1060,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,05 Feb 2023 22:00,07 Mar 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN ANTONIO', '9622241', 'NEOSAMBA', 'DK', 'OXCQ2', '2013']]","['05 Feb 2023 22:00', '04 Mar 2023 07:00', '06 Mar 2023 15:00', '07 Mar 2023 05:00']"
1061,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,05 Feb 2023 22:00,07 Mar 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN ANTONIO', '9622241', 'NEOSAMBA', 'DK', 'OXCQ2', '2013']]","['05 Feb 2023 22:00', '07 Mar 2023 05:00']"
1062,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,12 Feb 2023 22:00,14 Mar 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Rotterdam Hutchison Ports Delta II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN TAINARO', '9633965', 'NEOSAMBA', 'PA', '3EOT8', '2014']]","['12 Feb 2023 22:00', '11 Mar 2023 07:00', '13 Mar 2023 15:00', '14 Mar 2023 05:00']"
1063,Montevideo Terminal Cuenca del Plata,Amsterdam Container Terminal Vrede Amsterdam,12 Feb 2023 22:00,14 Mar 2023 05:00,"['Montevideo Terminal Cuenca del Plata', 'Amsterdam Container Terminal Vrede Amsterdam']","[['CAP SAN TAINARO', '9633965', 'NEOSAMBA', 'PA', '3EOT8', '2014']]","['12 Feb 2023 22:00', '14 Mar 2023 05:00']"
