,Origin,Destination,Departure time,Arrival time,Ports,Vessels,Dates
0,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,21 Dec 2022 15:30,25 Jan 2023 10:00,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BUTON', '9392925', 'CLX', 'SG', '9V7498', '2008']]","['21 Dec 2022 15:30', '03 Jan 2023 12:30', '06 Jan 2023 14:30', '25 Jan 2023 10:00']"
1,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,28 Dec 2022 15:30,01 Feb 2023 09:58,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BRATAN', '9394894', 'CLX', 'SG', '9V8044', '2009']]","['28 Dec 2022 15:30', '10 Jan 2023 12:30', '13 Jan 2023 14:30', '01 Feb 2023 09:58']"
2,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,04 Jan 2023 15:30,08 Feb 2023 09:59,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BALI', '9394870', 'CLX', 'SG', '9V7499', '2008']]","['04 Jan 2023 15:30', '17 Jan 2023 12:30', '20 Jan 2023 14:30', '08 Feb 2023 09:59']"
3,Arica Terminal Puerto Arica (TPA),Amsterdam Container Terminal Vrede Amsterdam,11 Jan 2023 15:30,15 Feb 2023 10:00,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BATUR', '9402029', 'CLX', 'SG', '9V8207', '2009']]","['11 Jan 2023 15:30', '24 Jan 2023 12:30', '27 Jan 2023 14:30', '15 Feb 2023 10:00']"
4,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,21 Dec 2022 15:30,28 Jan 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BRATAN', '9394894', 'CLX', 'SG', '9V8044', '2009']]","['21 Dec 2022 15:30', '27 Dec 2022 07:00', '31 Dec 2022 07:00', '28 Jan 2023 06:00']"
5,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,28 Dec 2022 15:30,04 Feb 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BALI', '9394870', 'CLX', 'SG', '9V7499', '2008']]","['28 Dec 2022 15:30', '03 Jan 2023 07:00', '05 Jan 2023 07:00', '04 Feb 2023 06:00']"
6,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,04 Jan 2023 15:30,11 Feb 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BATUR', '9402029', 'CLX', 'SG', '9V8207', '2009']]","['04 Jan 2023 15:30', '10 Jan 2023 07:00', '14 Jan 2023 07:00', '11 Feb 2023 06:00']"
7,Arica Terminal Puerto Arica (TPA),Antwerp PSA Antwerp K913 Noordzee,11 Jan 2023 15:30,20 Feb 2023 06:00,"['Arica Terminal Puerto Arica (TPA)', 'Callao APM Terminals in Callao Port', 'Antwerp PSA Antwerp K913 Noordzee']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BULAN', '9355343', 'CLX', 'SG', '9V7693', '2008']]","['11 Jan 2023 15:30', '17 Jan 2023 07:00', '21 Jan 2023 07:00', '20 Feb 2023 06:00']"
8,Arica Terminal Puerto Arica (TPA),Moerdijk Delta Marine Terminal BV,21 Dec 2022 15:30,25 Jan 2023 20:00,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Moerdijk Delta Marine Terminal BV']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BUTON', '9392925', 'CLX', 'SG', '9V7498', '2008']]","['21 Dec 2022 15:30', '03 Jan 2023 12:30', '06 Jan 2023 14:30', '25 Jan 2023 20:00']"
9,Arica Terminal Puerto Arica (TPA),Moerdijk Delta Marine Terminal BV,28 Dec 2022 15:30,01 Feb 2023 19:58,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Moerdijk Delta Marine Terminal BV']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BRATAN', '9394894', 'CLX', 'SG', '9V8044', '2009']]","['28 Dec 2022 15:30', '10 Jan 2023 12:30', '13 Jan 2023 14:30', '01 Feb 2023 19:58']"
10,Arica Terminal Puerto Arica (TPA),Moerdijk Delta Marine Terminal BV,04 Jan 2023 15:30,08 Feb 2023 19:59,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Moerdijk Delta Marine Terminal BV']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BALI', '9394870', 'CLX', 'SG', '9V7499', '2008']]","['04 Jan 2023 15:30', '17 Jan 2023 12:30', '20 Jan 2023 14:30', '08 Feb 2023 19:59']"
11,Arica Terminal Puerto Arica (TPA),Moerdijk Delta Marine Terminal BV,11 Jan 2023 15:30,15 Feb 2023 20:00,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Moerdijk Delta Marine Terminal BV']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BATUR', '9402029', 'CLX', 'SG', '9V8207', '2009']]","['11 Jan 2023 15:30', '24 Jan 2023 12:30', '27 Jan 2023 14:30', '15 Feb 2023 20:00']"
12,Arica Terminal Puerto Arica (TPA),Rotterdam APM 2 Terminal Maasvlakte II,21 Dec 2022 15:30,23 Jan 2023 00:01,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BUTON', '9392925', 'CLX', 'SG', '9V7498', '2008']]","['21 Dec 2022 15:30', '03 Jan 2023 12:30', '06 Jan 2023 14:30', '23 Jan 2023 00:01']"
13,Arica Terminal Puerto Arica (TPA),Rotterdam APM 2 Terminal Maasvlakte II,28 Dec 2022 15:30,30 Jan 2023 00:01,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BRATAN', '9394894', 'CLX', 'SG', '9V8044', '2009']]","['28 Dec 2022 15:30', '10 Jan 2023 12:30', '13 Jan 2023 14:30', '30 Jan 2023 00:01']"
14,Arica Terminal Puerto Arica (TPA),Rotterdam APM 2 Terminal Maasvlakte II,04 Jan 2023 15:30,06 Feb 2023 00:01,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BALI', '9394870', 'CLX', 'SG', '9V7499', '2008']]","['04 Jan 2023 15:30', '17 Jan 2023 12:30', '20 Jan 2023 14:30', '06 Feb 2023 00:01']"
15,Arica Terminal Puerto Arica (TPA),Rotterdam APM 2 Terminal Maasvlakte II,11 Jan 2023 15:30,13 Feb 2023 00:01,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BATUR', '9402029', 'CLX', 'SG', '9V8207', '2009']]","['11 Jan 2023 15:30', '24 Jan 2023 12:30', '27 Jan 2023 14:30', '13 Feb 2023 00:01']"
16,Arica Terminal Puerto Arica (TPA),Vlissingen Kloosterboer Vlissingen VOF,21 Dec 2022 15:30,25 Jan 2023 20:00,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vlissingen Kloosterboer Vlissingen VOF']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BUTON', '9392925', 'CLX', 'SG', '9V7498', '2008']]","['21 Dec 2022 15:30', '03 Jan 2023 12:30', '06 Jan 2023 14:30', '25 Jan 2023 20:00']"
17,Arica Terminal Puerto Arica (TPA),Vlissingen Kloosterboer Vlissingen VOF,28 Dec 2022 15:30,01 Feb 2023 19:58,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vlissingen Kloosterboer Vlissingen VOF']","[['JEPPESEN MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BRATAN', '9394894', 'CLX', 'SG', '9V8044', '2009']]","['28 Dec 2022 15:30', '10 Jan 2023 12:30', '13 Jan 2023 14:30', '01 Feb 2023 19:58']"
18,Arica Terminal Puerto Arica (TPA),Vlissingen Kloosterboer Vlissingen VOF,04 Jan 2023 15:30,08 Feb 2023 19:59,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vlissingen Kloosterboer Vlissingen VOF']","[['JENS MAERSK', '-', '-', '-', '-', '-'], ['MAERSK BALI', '9394870', 'CLX', 'SG', '9V7499', '2008']]","['04 Jan 2023 15:30', '17 Jan 2023 12:30', '20 Jan 2023 14:30', '08 Feb 2023 19:59']"
19,Arica Terminal Puerto Arica (TPA),Vlissingen Kloosterboer Vlissingen VOF,11 Jan 2023 15:30,15 Feb 2023 20:00,"['Arica Terminal Puerto Arica (TPA)', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Vlissingen Kloosterboer Vlissingen VOF']","[['FORT DESAIX', '-', '-', '-', '-', '-'], ['MAERSK BATUR', '9402029', 'CLX', 'SG', '9V8207', '2009']]","['11 Jan 2023 15:30', '24 Jan 2023 12:30', '27 Jan 2023 14:30', '15 Feb 2023 20:00']"
20,Buenaventura TCBUEN,Amsterdam Container Terminal Vrede Amsterdam,19 Dec 2022 15:00,11 Jan 2023 10:00,"['Buenaventura TCBUEN', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['LARS MAERSK', '9294379', 'ECUMED', 'DK', 'OVSB2', '2004'], ['MAERSK BATAM', '9355331', 'CLX', 'SG', '9VHF2', '2008']]","['19 Dec 2022 15:00', '20 Dec 2022 14:00', '24 Dec 2022 01:00', '11 Jan 2023 10:00']"
21,Buenaventura TCBUEN,Amsterdam Container Terminal Vrede Amsterdam,26 Dec 2022 16:00,18 Jan 2023 10:00,"['Buenaventura TCBUEN', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['LUNA MAERSK', '9190781', 'ECUMED', 'DK', 'OWFT2', '2001'], ['SAFMARINE BENGUELA', '9355367', 'CLX', 'HK', 'VRLA3', '2009']]","['26 Dec 2022 16:00', '27 Dec 2022 14:00', '30 Dec 2022 14:30', '18 Jan 2023 10:00']"
22,Buenaventura TCBUEN,Amsterdam Container Terminal Vrede Amsterdam,02 Jan 2023 16:00,25 Jan 2023 10:00,"['Buenaventura TCBUEN', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['LAUST MAERSK', '9190743', 'ECUMED', 'HK', 'VRTU9', '2001'], ['MAERSK BUTON', '9392925', 'CLX', 'SG', '9V7498', '2008']]","['02 Jan 2023 16:00', '03 Jan 2023 14:00', '06 Jan 2023 14:30', '25 Jan 2023 10:00']"
23,Buenaventura TCBUEN,Amsterdam Container Terminal Vrede Amsterdam,09 Jan 2023 16:00,01 Feb 2023 09:58,"['Buenaventura TCBUEN', 'Balboa Balboa Port Terminal', 'Rotterdam APM 2 Terminal Maasvlakte II', 'Amsterdam Container Terminal Vrede Amsterdam']","[['LEXA MAERSK', '9190767', 'ECUMED', 'DK', 'OYYL2', '2001'], ['MAERSK BRATAN', '9394894', 'CLX', 'SG', '9V8044', '2009']]","['09 Jan 2023 16:00', '10 Jan 2023 14:00', '13 Jan 2023 14:30', '01 Feb 2023 09:58']"
24,Buenaventura TCBUEN,Antwerp PSA Antwerp K913 Noordzee,19 Dec 2022 15:00,07 Jan 2023 06:00,"['Buenaventura TCBUEN', 'Balboa Balboa Port Terminal', 'Antwerp PSA Antwerp K913 Noordzee']","[['LARS MAERSK', '9294379', 'ECUMED', 'DK', 'OVSB2', '2004'], ['MAERSK BATAM', '9355331', 'CLX', 'SG', '9VHF2', '2008']]","['19 Dec 2022 15:00', '20 Dec 2022 14:00', '24 Dec 2022 01:00', '07 Jan 2023 06:00']"
25,Buenaventura TCBUEN,Antwerp PSA Antwerp K913 Noordzee,26 Dec 2022 16:00,14 Jan 2023 06:00,"['Buenaventura TCBUEN', 'Balboa Balboa Port Terminal', 'Antwerp PSA Antwerp K913 Noordzee']","[['LUNA MAERSK', '9190781', 'ECUMED', 'DK', 'OWFT2', '2001'], ['SAFMARINE BENGUELA', '9355367', 'CLX', 'HK', 'VRLA3', '2009']]","['26 Dec 2022 16:00', '27 Dec 2022 14:00', '30 Dec 2022 14:30', '14 Jan 2023 06:00']"
